Date,Time,Open,High,Low,Close,Tick,Volume,Spread
2021.03.01,14:51:00,112585,112670,112570,112615,10968,43527,5
2021.03.01,14:52:00,112610,112625,112510,112550,12446,51868,5
2021.03.01,14:53:00,112555,112570,112455,112470,9918,41316,5
2021.03.01,14:54:00,112465,112505,112380,112405,12260,50603,5
2021.03.01,14:55:00,112405,112415,112320,112355,10113,37942,5
2021.03.01,14:56:00,112355,112355,112290,112310,6444,25730,5
2021.03.01,14:57:00,112310,112310,112170,112175,13446,53856,5
2021.03.01,14:58:00,112175,112185,112115,112140,9466,36372,5
2021.03.01,14:59:00,112145,112190,112095,112145,9142,36094,5
2021.03.01,15:00:00,112145,112210,112120,112140,10658,41266,5
2021.03.01,15:01:00,112140,112170,112100,112110,6801,28341,5
2021.03.01,15:02:00,112105,112120,111995,112010,17889,67797,5
2021.03.01,15:03:00,112015,112020,111900,111985,17740,63615,5
2021.03.01,15:04:00,111985,112005,111930,111950,5907,23227,5
2021.03.01,15:05:00,111955,112030,111920,111940,10519,42842,5
2021.03.01,15:06:00,111940,111990,111920,111960,5879,23713,5
2021.03.01,15:07:00,111960,111965,111875,111920,7865,30895,5
2021.03.01,15:08:00,111925,111965,111885,111920,6245,26068,5
2021.03.01,15:09:00,111920,111950,111875,111890,6872,29896,5
2021.03.01,15:10:00,111895,111900,111825,111860,11331,45007,5
2021.03.01,15:11:00,111860,111870,111740,111795,12947,55551,5
2021.03.01,15:12:00,111800,111850,111785,111825,6769,37358,5
2021.03.01,15:13:00,111825,111880,111775,111820,7659,39187,5
2021.03.01,15:14:00,111820,111835,111710,111715,9697,37897,5
2021.03.01,15:15:00,111720,111800,111700,111795,11511,43712,5
2021.03.01,15:16:00,111795,111895,111790,111890,12424,47827,5
2021.03.01,15:17:00,111890,111890,111800,111870,7211,28266,5
2021.03.01,15:18:00,111865,111875,111790,111825,4977,19574,5
2021.03.01,15:19:00,111825,111845,111720,111750,8511,32857,5
2021.03.01,15:20:00,111745,111890,111735,111865,11003,42256,5
2021.03.01,15:21:00,111865,111985,111860,111960,14731,59132,5
2021.03.01,15:22:00,111965,111970,111910,111930,5645,23509,5
2021.03.01,15:23:00,111935,111970,111910,111955,3796,14896,5
2021.03.01,15:24:00,111960,112005,111930,111940,9113,38541,5
2021.03.01,15:25:00,111945,111975,111890,111930,7831,30861,5
2021.03.01,15:26:00,111930,111995,111875,111980,8008,33903,5
2021.03.01,15:27:00,111980,112020,111930,111940,7674,31967,5
2021.03.01,15:28:00,111945,111995,111910,111990,5086,21142,5
2021.03.01,15:29:00,111995,112065,111960,112050,9811,39246,5
2021.03.01,15:30:00,112050,112145,112045,112090,13390,50408,5
2021.03.01,15:31:00,112090,112105,112010,112060,8631,34359,5
2021.03.01,15:32:00,112060,112115,112045,112060,7013,28935,5
2021.03.01,15:33:00,112065,112150,112060,112140,7152,31623,5
2021.03.01,15:34:00,112145,112350,112140,112340,19490,80159,5
2021.03.01,15:35:00,112340,112420,112335,112360,13365,54922,5
2021.03.01,15:36:00,112360,112385,112240,112320,14251,55443,5
2021.03.01,15:37:00,112325,112350,112230,112255,7588,32117,5
2021.03.01,15:38:00,112255,112300,112170,112220,9379,42300,5
2021.03.01,15:39:00,112220,112265,112165,112210,6667,28345,5
2021.03.01,15:40:00,112215,112255,112170,112235,6923,29869,5
2021.03.01,15:41:00,112235,112300,112215,112285,8421,35120,5
2021.03.01,15:42:00,112285,112290,112200,112255,4569,20533,5
